"Tipo de elecci贸n.","A帽o del proceso electoral.", "Mes del proceso electoral.","C贸digo de la candidatura.", "Siglas de la candidatura.", "Denominaci贸n de la candidatura.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel provincial.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel auton贸mico.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel nacional."
07,1987,06,000001,PSOE                                              ,PARTIDO SOCIALISTA OBRERO ESPAOL                                                                                                                     ,000001,000001,000001
07,1987,06,000002,AP                                                ,FEDERACION DE PARTIDOS DE ALIANZA POPULAR                                                                                                             ,000002,000002,000002
07,1987,06,000003,CDS                                               ,CENTRO DEMOCRATICO Y SOCIAL                                                                                                                           ,000003,000003,000003
07,1987,06,000004,IU                                                ,COALICION IZQUIERDA UNIDA                                                                                                                             ,000004,000004,000004
07,1987,06,000005,PDP                                               ,PARTIDO DEMOCRATA POPULAR                                                                                                                             ,000005,000005,000005
07,1987,06,000009,HB                                                ,HERRI BATASUNA                                                                                                                                        ,000009,000009,000009
07,1987,06,000010,CIU                                               ,COALICION CONVERGENCIA I UNIO                                                                                                                         ,000010,000010,000010
07,1987,06,000013,AIC                                               ,COALICION AGRUPACIONES INDEPEND. DE CANARIAS                                                                                                          ,000013,000013,000013
07,1987,06,000018,EU                                                ,EXTREMADURA UNIDA                                                                                                                                     ,000018,000018,000018
07,1987,06,000019,FE-JONS                                           ,FALANGE ESPAOLA DE LAS JONS                                                                                                                          ,000019,000019,000019
07,1987,06,000020,LV                                                ,LOS VERDES                                                                                                                                            ,000020,000020,000020
07,1987,06,000021,PANCAL                                            ,PARTIDO NACIONALISTA DE CASTILLA Y LEON                                                                                                               ,000021,000021,000021
07,1987,06,000022,PAR                                               ,PARTIDO ARAGONES REGIONALISTA                                                                                                                         ,000022,000022,000022
07,1987,06,000023,POSI                                              ,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA                                                                                                           ,000023,000023,000023
07,1987,06,000026,PSC-PSOE                                          ,PARTIT DELS SOCIALISTES DE CATALUNYA                                                                                                                  ,000026,000026,000001
07,1987,06,000031,PST                                               ,PARTIDO SOCIALISTA DE LOS TRABAJADORES                                                                                                                ,000031,000031,000031
07,1987,06,000032,UCE                                               ,UNIFICACION COMUNISTA DE ESPAA                                                                                                                       ,000032,000032,000032
07,1987,06,000034,UV                                                ,UNIO VALENCIANA-UNION VALENCIANA                                                                                                                      ,000034,000034,000034
07,1987,06,000037,PTE-UC                                            ,P. TRABAJADORES DE ESPAA-UNIDAD COMUNISTA                                                                                                            ,000037,000037,000037
07,1987,06,000038,PH                                                ,PLATAFORMA HUMANISTA                                                                                                                                  ,000038,000038,000038
07,1987,06,000046,UM                                                ,UNIO MALLORQUINA                                                                                                                                      ,000046,000046,000046
07,1987,06,000051,ERC-EA-PNG                                        ,PER L'EUROPA DE LES NACIONS                                                                                                                           ,000051,000051,000108
07,1987,06,000058,PRC                                               ,PARTIDO REGIONALISTA DE CANTABRIA                                                                                                                     ,000058,000058,000058
07,1987,06,000067,LA                                                ,LIBERACION ANDALUZA                                                                                                                                   ,000067,000067,000067
07,1987,06,000069,CV                                                ,CONFEDERACION DE LOS VERDES                                                                                                                           ,000069,000069,000069
07,1987,06,000082,PA                                                ,PARTIDO ANDALUCISTA                                                                                                                                   ,000082,000082,000082
07,1987,06,000098,BNG                                               ,BLOQUE NACIONALISTA GALEGO                                                                                                                            ,000098,000098,000098
07,1987,06,000105,FN                                                ,FRENTE NACIONAL                                                                                                                                       ,000105,000105,000105
07,1987,06,000106,PED                                               ,PARTIDO ESPAOL DEMOCRATA                                                                                                                             ,000106,000106,000106
07,1987,06,000108,EA-ERC-PNG                                        ,COALICION POR LA EUROPA DE LOS PUEBLOS                                                                                                                ,000108,000108,000108
07,1987,06,000109,PNV-PG-N                                          ,COALICION UNION EUROPEISTA-EUROPAR BATASUNA                                                                                                           ,000109,000109,000109
07,1987,06,000111,ANEMYA                                            ,ASAMBLEA NAC.ESTUDIANT.DE MEDICINA Y ASOCIADOS                                                                                                        ,000111,000111,000111
07,1987,06,000112,CIP                                               ,COALICION IZQUIERDA DE LOS PUEBLOS                                                                                                                    ,000112,000112,000112
07,1987,06,000113,PORE                                              ,PART.DE LOS OBREROS REVOLUCIONARIOS DE ESPAA                                                                                                         ,000113,000113,000113
07,1987,06,000114,PCV                                               ,PARTIDO COALICION VALENCIANA                                                                                                                          ,000114,000114,000114
07,1987,06,000115,AS                                                ,ACCION SOCIAL                                                                                                                                         ,000115,000115,000115
07,1987,06,000116,CSD                                               ,COALICION SOCIALDEMOCRATA                                                                                                                             ,000116,000116,000116
07,1987,06,000176,PSM-EN(CIP)                                       ,PSM-ESQUERRA NACIONALISTA-ESQUERRA DELS POBLES                                                                                                        ,000176,000176,000112
07,1987,06,000177,CIP-ENE                                           ,ESQUERRA DELS POBLES-ENTESA DELS NACIONALISTES                                                                                                        ,000177,000177,000112
07,1987,06,000178,IU (IPE)                                          ,IZQUIERDA UNIDA-INICIATIVA PER EUROPA                                                                                                                 ,000178,000178,000004
07,1987,06,000179,EA-PNG-ERC                                        ,HERRIEN EUROPAREN ALDE-EUROPA DE LOS PUEBLOS                                                                                                          ,000179,000179,000108
07,1987,06,000180,EE (CIP)                                          ,EUSKADIKO EZQUERRA-IZDA. DE LOS PUEBLOS                                                                                                               ,000180,000180,000112
07,1987,06,000181,PNG-EA-ERC                                        ,POLA EUROPA DOS POBOS                                                                                                                                 ,000181,000181,000108
07,1987,06,000182,PSG-EG(CIP)                                       ,ESQUERDA DOS POBOS PSG-EG                                                                                                                             ,000182,000182,000112
