AÃ±o,Mes,Partido,Votos
1977, 06, CAI, 0
1977, 06, BAI, 226
1977, 06, PLI, 805
1977, 06, PAE, 833
1977, 06, FEI, 855
1977, 06, ADC, 938
1977, 06, ADEC, 1099
1977, 06, CIPYE, 1480
1977, 06, CUIR, 1504
1977, 06, AEICYU, 1623
1977, 06, PRSV, 2345
1977, 06, FL, 2631
1977, 06, UDIB, 2946
1977, 06, PDG, 3196
1977, 06, PSDE, 3786
1977, 06, ICU, 4118
1977, 06, INDEP, 4530
1977, 06, PPROV, 4590
1977, 06, FAA, 4791
1977, 06, PIM, 4814
1977, 06, PSCAN, 5110
1977, 06, CUP, 5206
1977, 06, FN, 5541
1977, 06, DCAR, 6014
1977, 06, ANV, 6435
1977, 06, CJA, 8184
1977, 06, ASA, 8439
1977, 06, MFA, 8461
1977, 06, MSA, 8741
1977, 06, DSCC, 9157
1977, 06, PPCAN, 9650
1977, 06, FNI, 10606
1977, 06, URAS, 10821
1977, 06, CCIA, 11879
1977, 06, UAB, 11914
1977, 06, CUPS, 12040
1977, 06, DIV, 15505
1977, 06, PCU, 17717
1977, 06, UAN, 18079
1977, 06, ANEPA-CP, 18113
1977, 06, LLIGA, 20109
1977, 06, PSOE-H, 21242
1977, 06, URA, 21350
1977, 06, AFN, 21900
1977, 06, BNPG, 22771
1977, 06, UNAI, 24489
1977, 06, FJONS, 25017
1977, 06, DCV, 26100
1977, 06, PSG, 27197
1977, 06, PSPV, 31138
1977, 06, ESB, 36002
1977, 06, CAIC, 37183
1977, 06, FUT, 41208
1977, 06, FJONSA, 46548
1977, 06, EE, 61417
1977, 06, RSE, 64241
1977, 06, AN18, 67336
1977, 06, AET, 77575
1977, 06, ASDCI, 101916
1977, 06, FDI, 122608
1977, 06, EC-FED, 143954
1977, 06, UDC-IDCC, 172791
1977, 06, FDC-EDC, 215841
1977, 06, PNV, 296193
1977, 06, PDPC, 514647
1977, 06, PSP-US, 816582
1977, 06, GU, 1504771
1977, 06, PSUC-PCE, 1709890
1977, 06, PSOE, 5371866
1977, 06, UCD, 6310391
1979, 03, FE-UF, 876
1979, 03, UF-FI-AT, 1188
1979, 03, CIME, 1820
1979, 03, POC, 2314
1979, 03, PIPPA, 2409
1979, 03, FEA, 2736
1979, 03, CNA, 3049
1979, 03, LC, 3614
1979, 03, IRA-ARDE, 4826
1979, 03, PPROV, 4939
1979, 03, DSCC, 4976
1979, 03, CIC, 6115
1979, 03, P-CANT, 6290
1979, 03, E CATALA, 6328
1979, 03, ULE, 7126
1979, 03, PSIN, 9777
1979, 03, SMIM, 10022
1979, 03, PDPCAN, 10099
1979, 03, PRE, 10324
1979, 03, UNAI, 10970
1979, 03, PNPV, 13828
1979, 03, URV, 15694
1979, 03, PLIB, 15774
1979, 03, PANCAL, 16016
1979, 03, PSAR - PSDA, 19220
1979, 03, UPN, 28248
1979, 03, FJONSA, 30252
1979, 03, UFV, 34108
1979, 03, LCR, 36662
1979, 03, PAR, 38042
1979, 03, PCT, 47896
1979, 03, UCE, 47937
1979, 03, PCARL, 50552
1979, 03, IR-E, 55384
1979, 03, PG-POG-PSG, 55555
1979, 03, BEAN, 56582
1979, 03, C-UPC, 58953
1979, 03, BNPG, 60889
1979, 03, MCPV-OIC, 84856
1979, 03, EE, 85677
1979, 03, ERFN, 123452
1979, 03, ORT, 127517
1979, 03, PSOE-H, 133869
1979, 03, HB, 172110
1979, 03, PTE, 192798
1979, 03, PNV, 296597
1979, 03, PSA-PA, 325842
1979, 03, UN, 378964
1979, 03, CIU, 483353
1979, 03, PSUC-PCE, 1938487
1979, 03, PSOE, 5469813
1979, 03, UCD, 6268593
1982, 10, CIR, 0
1982, 10, PCU, 0
1982, 10, BIA, 0
1982, 10, EM, 0
1982, 10, PP, 168
1982, 10, PAE, 222
1982, 10, PC, 224
1982, 10, FA, 532
1982, 10, IR, 610
1982, 10, ASDC, 1131
1982, 10, PDB, 1454
1982, 10, MCRM, 1515
1982, 10, M.CAT.E, 1694
1982, 10, ACI, 1710
1982, 10, FE-I, 1862
1982, 10, PRE, 1984
1982, 10, IDG, 2236
1982, 10, PADL, 2493
1982, 10, FE-JONS, 2528
1982, 10, PREPAL, 3234
1982, 10, PNC, 3257
1982, 10, FIC, 3772
1982, 10, CE-FCC, 4900
1982, 10, LC (COSI), 5462
1982, 10, AEGI, 5512
1982, 10, PS, 6375
1982, 10, ENV-URV, 6738
1982, 10, PSA, 6861
1982, 10, PSM, 8633
1982, 10, AEBA, 8748
1982, 10, UFM-MFE, 8976
1982, 10, EUPV, 9302
1982, 10, CUC, 15632
1982, 10, UPV, 18516
1982, 10, AC-CC, 18757
1982, 10, EG, 22192
1982, 10, PCE (M-L), 23186
1982, 10, UCE, 24044
1982, 10, CC, 25792
1982, 10, PCOE, 25830
1982, 10, EU, 26148
1982, 10, SE, 28451
1982, 10, NE, 30643
1982, 10, UPC, 35013
1982, 10, B-PSG, 38437
1982, 10, PCC, 47249
1982, 10, PSA-PA, 84474
1982, 10, EE, 100326
1982, 10, PST, 103133
1982, 10, FN, 108746
1982, 10, ERC, 138118
1982, 10, HB, 210601
1982, 10, EAJ-PNV, 395656
1982, 10, CDS, 604309
1982, 10, CIU, 772726
1982, 10, PSUC, 846515
1982, 10, UCD, 1425093
1982, 10, UPN-AP-PDP, 5548107
1982, 10, PSOE, 10127392
1986, 06, LKI, 0
1986, 06, EMK, 0
1986, 06, PAEC, 254
1986, 06, AE-AIC, 601
1986, 06, PROV, 756
1986, 06, CA, 758
1986, 06, PANCAL, 1047
1986, 06, PED, 1169
1986, 06, PRM, 1401
1986, 06, CN, 1886
1986, 06, PMCN, 1932
1986, 06, LOC, 1952
1986, 06, ENV-URV, 2116
1986, 06, PREPAL, 2449
1986, 06, CL, 2520
1986, 06, ADEI, 3857
1986, 06, PSDC, 4885
1986, 06, PORE, 5126
1986, 06, CUN, 5209
1986, 06, PSM-EN, 7539
1986, 06, PSPA, 14999
1986, 06, EU, 16091
1986, 06, POSI, 21853
1986, 06, BNG, 27049
1986, 06, UPR, 27473
1986, 06, VERDE, 28318
1986, 06, AV, 29567
1986, 06, LV, 31909
1986, 06, AC-INC, 36892
1986, 06, UPV, 40264
1986, 06, UCE, 42451
1986, 06, FE-JONS, 43449
1986, 06, PSG-EG, 45574
1986, 06, PCC, 57107
1986, 06, UV, 64403
1986, 06, AIC, 65664
1986, 06, PAR, 73004
1986, 06, PST, 77914
1986, 06, CG, 79972
1986, 06, ERC, 84628
1986, 06, PA, 94008
1986, 06, EE, 107053
1986, 06, PRD, 194538
1986, 06, PCE-EPK, 229695
1986, 06, HB, 231722
1986, 06, EAJ-PNV, 309610
1986, 06, PSUC-ENE, 935504
1986, 06, CIU, 1014258
1986, 06, CDS, 1861912
1986, 06, AP-PL-UPN, 5247677
1986, 06, PSOE, 8901718
1987, 06, PPLM, 165
1987, 06, PNEM, 169
1987, 06, UPGO, 207
1987, 06, UDC, 221
1987, 06, PSAN, 228
1987, 06, PSDV, 252
1987, 06, TAGOROR, 279
1987, 06, ALCI-I, 397
1987, 06, PNA, 522
1987, 06, ARDE, 529
1987, 06, PSDC-EC, 566
1987, 06, PUIECB, 600
1987, 06, PNC, 701
1987, 06, PCA, 727
1987, 06, CSI, 745
1987, 06, PRMA, 750
1987, 06, LCR, 757
1987, 06, AWAÑAC, 761
1987, 06, P.PIRINEU, 803
1987, 06, PRE, 887
1987, 06, PRMU, 974
1987, 06, AMO-ULE, 983
1987, 06, FI, 1030
1987, 06, UPI, 1082
1987, 06, IUPC, 1090
1987, 06, UA-PNA, 1128
1987, 06, ADEIS, 1266
1987, 06, PREPAL, 1319
1987, 06, UNI, 1418
1987, 06, AHI, 1441
1987, 06, UC, 1717
1987, 06, IF, 1900
1987, 06, B, 2162
1987, 06, LOC, 2257
1987, 06, CGI, 2494
1987, 06, JJ.EE., 2526
1987, 06, PSPC, 2557
1987, 06, UPM, 2622
1987, 06, CDS-AGI, 2691
1987, 06, AIL, 2713
1987, 06, PAS, 3077
1987, 06, MCE, 3113
1987, 06, PGIS, 3152
1987, 06, UA-CH.A, 3172
1987, 06, PEC-V, 3229
1987, 06, CP, 3234
1987, 06, AIAM, 3381
1987, 06, VERDE, 3457
1987, 06, PSM-EU, 3640
1987, 06, UNLE, 3704
1987, 06, PGN, 4176
1987, 06, UPG, 4363
1987, 06, CEU, 4398
1987, 06, AIGRANC, 4557
1987, 06, PB, 4726
1987, 06, PDB, 5118
1987, 06, AM, 5336
1987, 06, AIDA, 5383
1987, 06, UIPM, 5492
1987, 06, ADEI-O, 5647
1987, 06, UPR, 6054
1987, 06, AV-MEC, 6150
1987, 06, PPCG, 6186
1987, 06, UDPM, 6885
1987, 06, PRP, 7125
1987, 06, CNC, 7331
1987, 06, PSI, 7494
1987, 06, PED, 9146
1987, 06, CEV, 9352
1987, 06, IPN, 9629
1987, 06, UCC, 9834
1987, 06, LA, 9881
1987, 06, API, 11356
1987, 06, OIV, 11385
1987, 06, PSM-EN, 11674
1987, 06, PMO, 11877
1987, 06, PL, 12582
1987, 06, PANCAL, 12616
1987, 06, PRC, 14553
1987, 06, PCV, 14749
1987, 06, PNG, 18354
1987, 06, UM, 19066
1987, 06, UCE, 21482
1987, 06, PH, 22333
1987, 06, FE-JONS, 23407
1987, 06, CSD, 25058
1987, 06, POSI, 25270
1987, 06, PCAN, 26343
1987, 06, UPV, 30018
1987, 06, ANEMYA, 30143
1987, 06, PORE, 30157
1987, 06, IG, 33032
1987, 06, EU, 39369
1987, 06, AC-INC, 41390
1987, 06, UPN, 43818
1987, 06, BNG, 53116
1987, 06, PSG-EG, 57062
1987, 06, CV, 65574
1987, 06, SI, 72661
1987, 06, ERC, 75422
1987, 06, PST, 77132
1987, 06, AIC, 96895
1987, 06, PAR, 105865
1987, 06, EE, 107354
1987, 06, LV, 107625
1987, 06, AP-PL, 108346
1987, 06, AS, 116761
1987, 06, ATI, 119943
1987, 06, FN, 122799
1987, 06, IU-UPV, 131942
1987, 06, UV, 162128
1987, 06, PDP, 170866
1987, 06, PTC-UC, 185104
1987, 06, PA, 185550
1987, 06, EA, 207054
1987, 06, PTE-UC, 222680
1987, 06, PNV-PG-N, 226570
1987, 06, EAJ-PNV, 241832
1987, 06, PSG-EG(CIP), 261328
1987, 06, PDP-PL, 319519
1987, 06, PNG-EA-ERC, 326911
1987, 06, HB, 360952
1987, 06, IND-1 43162, 714632
1987, 06, CIU, 853603
1987, 06, IU (IPE), 1011830
1987, 06, CDS, 1976093
1987, 06, AP-CCG, 3972359
1987, 06, AP, 4747283
1987, 06, PSN-PSOE, 7229782
1987, 06, PSC-PSOE, 7522706
1989, 06, BACTERIA, 0
1989, 06, P.CAR., 8477
1989, 06, IDE, 8789
1989, 06, LA, 9421
1989, 06, PED, 10392
1989, 06, UNA, 13165
1989, 06, AR, 17189
1989, 06, PH, 19356
1989, 06, C.LL., 19774
1989, 06, FE-JONS, 24340
1989, 06, EPV, 30252
1989, 06, PST-PORE, 38683
1989, 06, BNG, 46052
1989, 06, AV-MEC, 47250
1989, 06, CSD, 52577
1989, 06, VERDE, 58686
1989, 06, FN, 60672
1989, 06, PCPE.PCC, 79970
1989, 06, UPM/FPR, 151835
1989, 06, LVE, 161903
1989, 06, LB, 164524
1989, 06, PTE-UC, 197095
1989, 06, EA, 238909
1989, 06, HB, 269094
1989, 06, UPV/EP, 290286
1989, 06, PA, 295047
1989, 06, EAJ-PNV, 303038
1989, 06, RUIZ-MATEOS, 608560
1989, 06, CIU, 666602
1989, 06, IU-EU, 961742
1989, 06, CDS, 1133429
1989, 06, PP, 3395015
1989, 06, PSC-PSOE, 6275552
1989, 10, PCE/(M.L.), 0
1989, 10, LKI-EMK, 0
1989, 10, P.PR., 245
1989, 10, PNEM, 301
1989, 10, PRB, 398
1989, 10, PRGU, 426
1989, 10, TAGOROR, 472
1989, 10, FE (I), 827
1989, 10, R. X C., 904
1989, 10, PEE-(LV), 931
1989, 10, ARDE, 975
1989, 10, COA, 1041
1989, 10, PANCAL, 1199
1989, 10, ACI, 1359
1989, 10, MV, 1368
1989, 10, SEV, 1411
1989, 10, CEU, 2760
1989, 10, UB, 2883
1989, 10, PREPAL, 2962
1989, 10, ENV-URV, 2988
1989, 10, UA-CH.A, 3156
1989, 10, UNA, 3218
1989, 10, GRM, 3330
1989, 10, PAM, 3396
1989, 10, FPG, 3657
1989, 10, PED, 4942
1989, 10, PAS, 5414
1989, 10, IGC, 6371
1989, 10, PORE., 7906
1989, 10, PSM-ENE, 7989
1989, 10, EX.U., 10984
1989, 10, AR, 12807
1989, 10, PNG-PG, 14411
1989, 10, PHA, 15936
1989, 10, CSD Y L, 17095
1989, 10, VERDE., 21235
1989, 10, ACN, 21539
1989, 10, FE-JONS, 24025
1989, 10, AV-MEC, 25978
1989, 10, PSG-EG, 34131
1989, 10, UPV, 40767
1989, 10, CG, 45821
1989, 10, BNG, 47763
1989, 10, PCPE., 62664
1989, 10, AIC, 64767
1989, 10, PAR, 71733
1989, 10, PST., 81218
1989, 10, ERC, 84756
1989, 10, PTE/UC, 86257
1989, 10, EE, 105238
1989, 10, EVE., 136335
1989, 10, EA, 136955
1989, 10, UV, 144924
1989, 10, LV., 157103
1989, 10, PA, 212687
1989, 10, HB, 217278
1989, 10, RUIZ-MATEOS, 219883
1989, 10, EAJ-PNV, 254681
1989, 10, CIU, 1032243
1989, 10, C.D.S., 1617716
1989, 10, EU, 1858588
1989, 10, PP-C DE G, 5285972
1989, 10, PSOE., 8115568
1991, 05, SODE-CM, 61
1991, 05, PCOC, 123
1991, 05, MFE, 228
1991, 05, PH, 233
1991, 05, INCE, 239
1991, 05, VS, 249
1991, 05, PUI., 253
1991, 05, LCR, 254
1991, 05, PUI, 273
1991, 05, AA, 291
1991, 05, IG, 295
1991, 05, PRCM, 298
1991, 05, APU, 298
1991, 05, PAG, 300
1991, 05, PCM-PM, 305
1991, 05, PANCAL, 307
1991, 05, CPC, 352
1991, 05, UCC-PED, 384
1991, 05, MCG, 401
1991, 05, CISN, 431
1991, 05, JV, 445
1991, 05, EA-EE, 445
1991, 05, DU, 469
1991, 05, UP. DE M., 494
1991, 05, PRB, 499
1991, 05, PNC, 503
1991, 05, EG, 544
1991, 05, MCE, 584
1991, 05, FE (I), 605
1991, 05, PSI, 625
1991, 05, PUR, 627
1991, 05, TAGOROR, 630
1991, 05, OM, 632
1991, 05, CP, 637
1991, 05, UC, 642
1991, 05, ARU, 656
1991, 05, AIS, 694
1991, 05, GIF, 705
1991, 05, MAS, 716
1991, 05, UPLTA, 772
1991, 05, UMS, 780
1991, 05, PEC-VERDE, 781
1991, 05, LG, 794
1991, 05, P.I., 845
1991, 05, AIDA, 902
1991, 05, OS, 907
1991, 05, PASE, 919
1991, 05, NA, 961
1991, 05, PVE, 984
1991, 05, FN, 995
1991, 05, VG, 1000
1991, 05, PRGU, 1029
1991, 05, AIGRANC, 1055
1991, 05, ALICANTON, 1069
1991, 05, ENE, 1071
1991, 05, HT, 1077
1991, 05, UA-PNA, 1091
1991, 05, AMD, 1137
1991, 05, ARDE, 1153
1991, 05, IPT, 1161
1991, 05, PAI, 1181
1991, 05, UNV, 1215
1991, 05, P/CARLISTA, 1218
1991, 05, PE, 1252
1991, 05, CA, 1305
1991, 05, PRSV, 1316
1991, 05, ADEI-O, 1320
1991, 05, PNG-PG, 1333
1991, 05, PDP, 1343
1991, 05, CIR, 1371
1991, 05, AHI, 1452
1991, 05, TC, 1473
1991, 05, PREPAL, 1511
1991, 05, LKI-EMK, 1546
1991, 05, CLL, 1546
1991, 05, PREC, 1624
1991, 05, PTGC, 1652
1991, 05, UPM, 1659
1991, 05, LVA-UV, 1679
1991, 05, PRM, 1772
1991, 05, AAVV-C, 1777
1991, 05, PNM, 1780
1991, 05, ARCOIRIS, 1786
1991, 05, UNAL, 1898
1991, 05, CCI, 1955
1991, 05, PORE, 1960
1991, 05, FIEF, 2048
1991, 05, PSPC, 2065
1991, 05, PSI., 2230
1991, 05, EHB, 2346
1991, 05, CI, 2452
1991, 05, CEU, 2501
1991, 05, UP., 2547
1991, 05, CUP, 2664
1991, 05, PI, 2702
1991, 05, FPG, 2708
1991, 05, AR, 2765
1991, 05, AV-MEC, 2802
1991, 05, PPCG, 2830
1991, 05, ASI, 2910
1991, 05, CONCEYU, 3231
1991, 05, PG, 3440
1991, 05, EEM, 3606
1991, 05, UNIC, 3663
1991, 05, B, 3889
1991, 05, IB, 4044
1991, 05, PB., 4363
1991, 05, PB, 4595
1991, 05, PIAP, 4723
1991, 05, EC, 4919
1991, 05, PAM, 4920
1991, 05, OIV, 4935
1991, 05, AM, 4959
1991, 05, DRCL, 4986
1991, 05, ACTAL, 4998
1991, 05, UPAN, 5390
1991, 05, AIPN, 5497
1991, 05, PVN, 5545
1991, 05, CB, 5630
1991, 05, P.N.C., 5737
1991, 05, UPI, 6181
1991, 05, APP, 6234
1991, 05, PCPE, 6488
1991, 05, PEC, 6813
1991, 05, APB, 6944
1991, 05, IPMO, 7146
1991, 05, PREX, 7440
1991, 05, EV, 7813
1991, 05, PRIM, 7990
1991, 05, UVE, 8264
1991, 05, E.U., 8392
1991, 05, PR, 8461
1991, 05, LE, 8495
1991, 05, DS, 8747
1991, 05, UG, 9333
1991, 05, PEC-PCC, 9468
1991, 05, P.M, 9526
1991, 05, UPL, 9595
1991, 05, UIM-IM, 10159
1991, 05, CHA, 10196
1991, 05, FE-JONS, 10829
1991, 05, PAS-UNA, 10891
1991, 05, PST, 11366
1991, 05, PCC, 14521
1991, 05, LVLE-H, 16408
1991, 05, PRC, 18966
1991, 05, PSM, 20981
1991, 05, UA, 21269
1991, 05, SI, 21951
1991, 05, RUIZ-MATEOS, 23404
1991, 05, ACN, 26188
1991, 05, PSG-EG, 39116
1991, 05, CNG, 52196
1991, 05, UPV, 54951
1991, 05, UPN, 68682
1991, 05, EE, 71382
1991, 05, UPCA, 71683
1991, 05, LV, 73548
1991, 05, ERC, 92003
1991, 05, BNG, 107932
1991, 05, PAR, 128025
1991, 05, EA, 131384
1991, 05, AIC, 140462
1991, 05, U.V., 187385
1991, 05, HB, 199090
1991, 05, EAJ-PNV, 299840
1991, 05, PA, 342927
1991, 05, CDS, 731331
1991, 05, AEI, 777488
1991, 05, CIU, 915291
1991, 05, IU, 1579097
1991, 05, PP, 4775051
1991, 05, PSOE, 7224242
1993, 06, UCE, 0
1993, 06, CCL, 0
1993, 06, PED, 0
1993, 06, FREIXES, 0
1993, 06, INCE, 42
1993, 06, PANCAL, 70
1993, 06, US, 98
1993, 06, MCES, 244
1993, 06, PRGU, 267
1993, 06, P. TAGOROR, 278
1993, 06, PRB, 282
1993, 06, IF, 303
1993, 06, PNC, 383
1993, 06, LG, 385
1993, 06, PITRCG, 408
1993, 06, ABE, 416
1993, 06, PIAP, 466
1993, 06, CONCEYU, 528
1993, 06, OS, 540
1993, 06, UDLA, 594
1993, 06, FPE, 641
1993, 06, UNI.D.A, 715
1993, 06, FE (A), 747
1993, 06, AA, 787
1993, 06, UC, 949
1993, 06, AIGRANC, 1009
1993, 06, PSPC, 1155
1993, 06, ATF, 1159
1993, 06, MCE, 1178
1993, 06, PREPAL, 1193
1993, 06, PCV, 1300
1993, 06, PVPA, 1375
1993, 06, ARCOIRIS, 1407
1993, 06, APP, 1410
1993, 06, FE (I), 1415
1993, 06, ENV, 1517
1993, 06, ACI, 1644
1993, 06, PRIM, 1917
1993, 06, ECO-VERDE, 1959
1993, 06, PREX, 2086
1993, 06, PB, 2681
1993, 06, URCL, 2715
1993, 06, ARDE, 3063
1993, 06, AG, 3286
1993, 06, TC-PNC, 4647
1993, 06, CNG, 4663
1993, 06, CHA, 6344
1993, 06, P. RIOJANO, 7532
1993, 06, NPS, 7991
1993, 06, FE-JONS, 8000
1993, 06, POR, 8667
1993, 06, HUMANISTA, 8834
1993, 06, PEC-VERDE, 9249
1993, 06, UMMP, 10053
1993, 06, PCPG, 10233
1993, 06, E U, 10653
1993, 06, PAS, 11088
1993, 06, PLN, 11392
1993, 06, UPL, 13097
1993, 06, PGC, 15246
1993, 06, GIL, 16452
1993, 06, UA, 16623
1993, 06, PRC, 18608
1993, 06, PSM-ENE, 20118
1993, 06, UPCA, 27005
1993, 06, PST, 30068
1993, 06, UPV, 41052
1993, 06, PAP, 43169
1993, 06, ARM, 54518
1993, 06, ECOLOGISTAS, 68851
1993, 06, PA, 96513
1993, 06, UV, 112341
1993, 06, BNG, 126965
1993, 06, EA-EUE, 129293
1993, 06, PAR, 144544
1993, 06, VERDES, 185940
1993, 06, ERC, 189632
1993, 06, HB, 206876
1993, 06, CC, 207077
1993, 06, EAJ-PNV, 291448
1993, 06, CDS, 414740
1993, 06, CIU, 1165783
1993, 06, IU, 2253722
1993, 06, PP, 8201463
1993, 06, PSE-EE/PSOE, 9150083
1994, 06, PNC, 0
1994, 06, LVRM, 0
1994, 06, PIL, 0
1994, 06, GPOR-PST, 3765
1994, 06, AG, 4431
1994, 06, PCAR, 4640
1994, 06, ADN, 4689
1994, 06, PREX, 4836
1994, 06, JYB, 4992
1994, 06, CTC, 5226
1994, 06, FEI, 5602
1994, 06, PREPAL, 6197
1994, 06, CNPS, 7349
1994, 06, PH, 7499
1994, 06, PLN, 7845
1994, 06, URCL, 10019
1994, 06, FE-JONS, 11733
1994, 06, EU, 13580
1994, 06, PAS, 14846
1994, 06, POR, 16144
1994, 06, CPNT, 29025
1994, 06, PCPE, 29692
1994, 06, CEC, 42237
1994, 06, RUIZ-MATEOS, 82410
1994, 06, GV, 109567
1994, 06, BNG, 139221
1994, 06, PA-PAP, 140445
1994, 06, HB, 180324
1994, 06, FORO Y CDS, 183418
1994, 06, ENE-ERC, 239339
1994, 06, UM, 518532
1994, 06, PSM-NM-CIU, 865913
1994, 06, IU-EBN, 2497671
1994, 06, PSC-PSOE, 5719707
1994, 06, PP, 7453900
1995, 05, PRB, 49
1995, 05, UC, 73
1995, 05, UPF, 128
1995, 05, ZUTIK, 155
1995, 05, PNC, 161
1995, 05, EKA, 162
1995, 05, HH, 187
1995, 05, PCOC, 199
1995, 05, LAE, 221
1995, 05, AEPR, 224
1995, 05, AIG, 234
1995, 05, PCS, 237
1995, 05, US, 288
1995, 05, FPG, 307
1995, 05, AMD, 330
1995, 05, APIL, 363
1995, 05, FIEX, 367
1995, 05, PUI, 371
1995, 05, AI-LV, 379
1995, 05, ACON, 384
1995, 05, CP, 407
1995, 05, PIZ, 430
1995, 05, LG, 436
1995, 05, IZEGZAWEN, 501
1995, 05, UP, 507
1995, 05, AFIT, 508
1995, 05, UAD, 529
1995, 05, CLL, 549
1995, 05, ENV, 553
1995, 05, PREC, 561
1995, 05, AE, 582
1995, 05, AL, 591
1995, 05, PPGA, 600
1995, 05, FE-I, 701
1995, 05, FIEF, 713
1995, 05, CISN, 724
1995, 05, BD, 729
1995, 05, AVEMA, 736
1995, 05, UDL, 753
1995, 05, AMA, 767
1995, 05, UDA, 776
1995, 05, UPB, 819
1995, 05, CR-CA, 838
1995, 05, PRGU, 904
1995, 05, NR, 906
1995, 05, HT, 930
1995, 05, UIG, 941
1995, 05, PIAP, 959
1995, 05, CPV, 961
1995, 05, AR, 1007
1995, 05, PNM, 1008
1995, 05, PPP, 1061
1995, 05, PEPC, 1067
1995, 05, CEM, 1111
1995, 05, OS, 1145
1995, 05, UA-PNA, 1202
1995, 05, PPB, 1213
1995, 05, AU, 1256
1995, 05, FREPIC, 1292
1995, 05, PMR, 1350
1995, 05, PDSC, 1449
1995, 05, CEAIV-UPRA, 1521
1995, 05, CDA-PNA, 1537
1995, 05, PRT, 1577
1995, 05, CB, 1613
1995, 05, AA, 1630
